Date,Open,High,Low,Close,Adj Close,Volume
2000-01-31,110.098,110.098,110.098,110.098,110.098,10000000000
2000-02-29,110.522,110.522,110.522,110.522,110.522,10000000000
2000-03-31,113.565,113.565,113.565,113.565,113.565,10000000000
2000-04-28,114.718,114.718,114.718,114.718,114.718,10000000000
2000-05-31,114.478,114.478,114.478,114.478,114.478,10000000000
2000-06-30,115.789,115.789,115.789,115.789,115.789,10000000000
2000-07-31,116.642,116.642,116.642,116.642,116.642,10000000000
2000-08-31,117.793,117.793,117.793,117.793,117.793,10000000000
2000-09-29,118.661,118.661,118.661,118.661,118.661,10000000000
2000-10-31,120.106,120.106,120.106,120.106,120.106,10000000000
2000-11-30,121.611,121.611,121.611,121.611,121.611,10000000000
2000-12-29,122.826,122.826,122.826,122.826,122.826,10000000000
2001-01-31,125.434,125.434,125.434,125.434,125.434,10000000000
2001-02-28,127.359,127.359,127.359,127.359,127.359,10000000000
2001-03-30,128.904,128.904,128.904,128.904,128.904,10000000000
2001-04-30,129.752,129.752,129.752,129.752,129.752,10000000000
2001-05-31,130.782,130.782,130.782,130.782,130.782,10000000000
2001-06-29,130.103,130.103,130.103,130.103,130.103,10000000000
2001-07-31,132.2,132.2,132.2,132.2,132.2,10000000000
2001-08-31,132.831,132.831,132.831,132.831,132.831,10000000000
2001-09-28,134.425,134.425,134.425,134.425,134.425,10000000000
2001-10-31,136.104,136.104,136.104,136.104,136.104,10000000000
2001-11-26,132.981,132.981,132.981,132.981,132.981,10000000000
2001-11-27,132.751,132.751,132.751,132.751,132.751,10000000000
2001-11-28,132.71,132.71,132.71,132.71,132.71,10000000000
2001-11-29,133.18,133.18,133.18,133.18,133.18,10000000000
2001-11-30,133.254,133.254,133.254,133.254,133.254,10000000000
2001-12-03,133.304,133.304,133.304,133.304,133.304,10000000000
2001-12-04,133.594,133.594,133.594,133.594,133.594,10000000000
2001-12-05,132.65,132.65,132.65,132.65,132.65,10000000000
2001-12-06,132.031,132.031,132.031,132.031,132.031,10000000000
2001-12-07,131.544,131.544,131.544,131.544,131.544,10000000000
2001-12-10,131.483,131.483,131.483,131.483,131.483,10000000000
2001-12-11,131.508,131.508,131.508,131.508,131.508,10000000000
2001-12-12,131.872,131.872,131.872,131.872,131.872,10000000000
2001-12-13,131.69,131.69,131.69,131.69,131.69,10000000000
2001-12-14,131.653,131.653,131.653,131.653,131.653,10000000000
2001-12-17,131.262,131.262,131.262,131.262,131.262,10000000000
2001-12-18,131.312,131.312,131.312,131.312,131.312,10000000000
2001-12-19,131.896,131.896,131.896,131.896,131.896,10000000000
2001-12-20,132.2,132.2,132.2,132.2,132.2,10000000000
2001-12-21,132.48,132.48,132.48,132.48,132.48,10000000000
2001-12-27,132.038,132.038,132.038,132.038,132.038,10000000000
2001-12-28,131.89,131.89,131.89,131.89,131.89,10000000000
2001-12-31,131.938,131.938,131.938,131.938,131.938,10000000000
2002-01-02,131.783,131.783,131.783,131.783,131.783,10000000000
2002-01-03,132.171,132.171,132.171,132.171,132.171,10000000000
2002-01-04,131.961,131.961,131.961,131.961,131.961,10000000000
2002-01-07,132.416,132.416,132.416,132.416,132.416,10000000000
2002-01-08,132.402,132.402,132.402,132.402,132.402,10000000000
2002-01-09,132.564,132.564,132.564,132.564,132.564,10000000000
2002-01-10,133.155,133.155,133.155,133.155,133.155,10000000000
2002-01-11,133.597,133.597,133.597,133.597,133.597,10000000000
2002-01-14,133.631,133.631,133.631,133.631,133.631,10000000000
2002-01-15,133.597,133.597,133.597,133.597,133.597,10000000000
2002-01-16,133.238,133.238,133.238,133.238,133.238,10000000000
2002-01-17,132.923,132.923,132.923,132.923,132.923,10000000000
2002-01-18,133.147,133.147,133.147,133.147,133.147,10000000000
2002-01-22,133.111,133.111,133.111,133.111,133.111,10000000000
2002-01-23,132.959,132.959,132.959,132.959,132.959,10000000000
2002-01-24,132.902,132.902,132.902,132.902,132.902,10000000000
2002-01-25,132.712,132.712,132.712,132.712,132.712,10000000000
2002-01-28,132.58,132.58,132.58,132.58,132.58,10000000000
2002-01-29,132.838,132.838,132.838,132.838,132.838,10000000000
2002-01-30,133.105,133.105,133.105,133.105,133.105,10000000000
2002-01-31,133.118,133.118,133.118,133.118,133.118,10000000000
2002-02-01,133.475,133.475,133.475,133.475,133.475,10000000000
2002-02-04,133.879,133.879,133.879,133.879,133.879,10000000000
2002-02-05,133.841,133.841,133.841,133.841,133.841,10000000000
2002-02-06,133.714,133.714,133.714,133.714,133.714,10000000000
2002-02-07,133.575,133.575,133.575,133.575,133.575,10000000000
2002-02-08,133.823,133.823,133.823,133.823,133.823,10000000000
2002-02-11,133.696,133.696,133.696,133.696,133.696,10000000000
2002-02-12,133.496,133.496,133.496,133.496,133.496,10000000000
2002-02-13,133.645,133.645,133.645,133.645,133.645,10000000000
2002-02-14,134.053,134.053,134.053,134.053,134.053,10000000000
2002-02-15,134.488,134.488,134.488,134.488,134.488,10000000000
2002-02-19,134.644,134.644,134.644,134.644,134.644,10000000000
2002-02-20,135.128,135.128,135.128,135.128,135.128,10000000000
