Date,Open,High,Low,Close,Adj Close,Volume
2017-01-06,2735.61,2735.61,2735.61,2735.61,2735.61,10000000000
2017-01-13,2742.45,2742.45,2742.45,2742.45,2742.45,10000000000
2017-01-20,2730.89,2730.89,2730.89,2730.89,2730.89,10000000000
2017-01-27,2733.45,2733.45,2733.45,2733.45,2733.45,10000000000
2017-02-03,2729.23,2729.23,2729.23,2729.23,2729.23,10000000000
2017-02-10,2743.99,2743.99,2743.99,2743.99,2743.99,10000000000
2017-02-17,2746.32,2746.32,2746.32,2746.32,2746.32,10000000000
2017-02-24,2769.52,2769.52,2769.52,2769.52,2769.52,10000000000
2017-03-03,2747.46,2747.46,2747.46,2747.46,2747.46,10000000000
2017-03-10,2723.37,2723.37,2723.37,2723.37,2723.37,10000000000
2017-03-17,2738.35,2738.35,2738.35,2738.35,2738.35,10000000000
2017-03-24,2758.1,2758.1,2758.1,2758.1,2758.1,10000000000
2017-03-31,2760.12,2760.12,2760.12,2760.12,2760.12,10000000000
2017-04-07,2766.67,2766.67,2766.67,2766.67,2766.67,10000000000
2017-04-14,2791.97,2791.97,2791.97,2791.97,2791.97,10000000000
2017-04-21,2792.21,2792.21,2792.21,2792.21,2792.21,10000000000
2017-04-28,2789.61,2789.61,2789.61,2789.61,2789.61,10000000000
2017-05-05,2783.07,2783.07,2783.07,2783.07,2783.07,10000000000
2017-05-12,2793.6,2793.6,2793.6,2793.6,2793.6,10000000000
2017-05-19,2810.45,2810.45,2810.45,2810.45,2810.45,10000000000
2017-05-26,2810.96,2810.96,2810.96,2810.96,2810.96,10000000000
2017-06-02,2830.37,2830.37,2830.37,2830.37,2830.37,10000000000
2017-06-09,2824.92,2824.92,2824.92,2824.92,2824.92,10000000000
2017-06-16,2838.86,2838.86,2838.86,2838.86,2838.86,10000000000
2017-06-23,2847.58,2847.58,2847.58,2847.58,2847.58,10000000000
2017-06-30,2830.31,2830.31,2830.31,2830.31,2830.31,10000000000
2017-07-07,2819.41,2819.41,2819.41,2819.41,2819.41,10000000000
2017-07-14,2836.05,2836.05,2836.05,2836.05,2836.05,10000000000
2017-07-21,2859.37,2859.37,2859.37,2859.37,2859.37,10000000000
2017-07-28,2851.66,2851.66,2851.66,2851.66,2851.66,10000000000
2017-08-04,2855.19,2855.19,2855.19,2855.19,2855.19,10000000000
2017-08-11,2852.6,2852.6,2852.6,2852.6,2852.6,10000000000
2017-08-18,2858.54,2858.54,2858.54,2858.54,2858.54,10000000000
2017-08-25,2864.9,2864.9,2864.9,2864.9,2864.9,10000000000
2017-09-01,2866.68,2866.68,2866.68,2866.68,2866.68,10000000000
2017-09-08,2879.67,2879.67,2879.67,2879.67,2879.67,10000000000
2017-09-15,2866.8,2866.8,2866.8,2866.8,2866.8,10000000000
2017-09-22,2866.25,2866.25,2866.25,2866.25,2866.25,10000000000
2017-09-29,2868.16,2868.16,2868.16,2868.16,2868.16,10000000000
2017-10-06,2867.35,2867.35,2867.35,2867.35,2867.35,10000000000
2017-10-13,2884.47,2884.47,2884.47,2884.47,2884.47,10000000000
2017-10-20,2872.3,2872.3,2872.3,2872.3,2872.3,10000000000
2017-10-27,2870.5,2870.5,2870.5,2870.5,2870.5,10000000000
2017-11-03,2884.21,2884.21,2884.21,2884.21,2884.21,10000000000
2017-11-10,2863.34,2863.34,2863.34,2863.34,2863.34,10000000000
2017-11-17,2872.99,2872.99,2872.99,2872.99,2872.99,10000000000
2017-11-24,2884.64,2884.64,2884.64,2884.64,2884.64,10000000000
2017-12-01,2887.39,2887.39,2887.39,2887.39,2887.39,10000000000
2017-12-08,2887.3,2887.3,2887.3,2887.3,2887.3,10000000000
2017-12-15,2903.16,2903.16,2903.16,2903.16,2903.16,10000000000
2017-12-22,2881.07,2881.07,2881.07,2881.07,2881.07,10000000000
2017-12-29,2901.78,2901.78,2901.78,2901.78,2901.78,10000000000
2018-01-05,2889.56,2889.56,2889.56,2889.56,2889.56,10000000000
2018-01-12,2889.52,2889.52,2889.52,2889.52,2889.52,10000000000
