Date,Open,High,Low,Close,Adj Close,Volume
2017-01-06,176.6631,176.6631,176.6631,176.6631,176.6631,10000000000
2017-01-13,179.0589,179.0589,179.0589,179.0589,179.0589,10000000000
2017-01-20,178.7389,178.7389,178.7389,178.7389,178.7389,10000000000
2017-01-27,177.9497,177.9497,177.9497,177.9497,177.9497,10000000000
2017-02-03,177.8983,177.8983,177.8983,177.8983,177.8983,10000000000
2017-02-10,180.7783,180.7783,180.7783,180.7783,180.7783,10000000000
2017-02-17,178.2741,178.2741,178.2741,178.2741,178.2741,10000000000
2017-02-24,177.0244,177.0244,177.0244,177.0244,177.0244,10000000000
2017-03-03,176.4482,176.4482,176.4482,176.4482,176.4482,10000000000
2017-03-10,170.5556,170.5556,170.5556,170.5556,170.5556,10000000000
2017-03-17,172.357,172.357,172.357,172.357,172.357,10000000000
2017-03-24,171.1295,171.1295,171.1295,171.1295,171.1295,10000000000
2017-03-31,172.8258,172.8258,172.8258,172.8258,172.8258,10000000000
2017-04-07,173.8335,173.8335,173.8335,173.8335,173.8335,10000000000
2017-04-14,174.7955,174.7955,174.7955,174.7955,174.7955,10000000000
2017-04-21,169.977,169.977,169.977,169.977,169.977,10000000000
2017-04-28,170.2237,170.2237,170.2237,170.2237,170.2237,10000000000
2017-05-05,167.548,167.548,167.548,167.548,167.548,10000000000
2017-05-12,169.2085,169.2085,169.2085,169.2085,169.2085,10000000000
2017-05-19,171.7348,171.7348,171.7348,171.7348,171.7348,10000000000
2017-05-26,170.3274,170.3274,170.3274,170.3274,170.3274,10000000000
2017-06-02,166.9523,166.9523,166.9523,166.9523,166.9523,10000000000
2017-06-09,167.1762,167.1762,167.1762,167.1762,167.1762,10000000000
2017-06-16,164.8709,164.8709,164.8709,164.8709,164.8709,10000000000
2017-06-23,161.594,161.594,161.594,161.594,161.594,10000000000
2017-06-30,167.6399,167.6399,167.6399,167.6399,167.6399,10000000000
2017-07-07,166.0556,166.0556,166.0556,166.0556,166.0556,10000000000
2017-07-14,167.9131,167.9131,167.9131,167.9131,167.9131,10000000000
2017-07-21,168.5259,168.5259,168.5259,168.5259,168.5259,10000000000
2017-07-28,171.593,171.593,171.593,171.593,171.593,10000000000
2017-08-04,169.1864,169.1864,169.1864,169.1864,169.1864,10000000000
2017-08-11,170.0723,170.0723,170.0723,170.0723,170.0723,10000000000
2017-08-18,169.1615,169.1615,169.1615,169.1615,169.1615,10000000000
2017-08-25,169.32,169.32,169.32,169.32,169.32,10000000000
2017-09-01,172.7789,172.7789,172.7789,172.7789,172.7789,10000000000
2017-09-08,172.3753,172.3753,172.3753,172.3753,172.3753,10000000000
2017-09-15,173.2901,173.2901,173.2901,173.2901,173.2901,10000000000
2017-09-22,172.638,172.638,172.638,172.638,172.638,10000000000
2017-09-29,171.8648,171.8648,171.8648,171.8648,171.8648,10000000000
2017-10-06,170.8126,170.8126,170.8126,170.8126,170.8126,10000000000
2017-10-13,174.8566,174.8566,174.8566,174.8566,174.8566,10000000000
2017-10-20,173.6191,173.6191,173.6191,173.6191,173.6191,10000000000
2017-10-27,174.8708,174.8708,174.8708,174.8708,174.8708,10000000000
2017-11-03,176.9714,176.9714,176.9714,176.9714,176.9714,10000000000
2017-11-10,177.833,177.833,177.833,177.833,177.833,10000000000
2017-11-17,176.8249,176.8249,176.8249,176.8249,176.8249,10000000000
2017-11-24,177.3454,177.3454,177.3454,177.3454,177.3454,10000000000
2017-12-01,176.329,176.329,176.329,176.329,176.329,10000000000
2017-12-08,171.3391,171.3391,171.3391,171.3391,171.3391,10000000000
2017-12-15,171.4686,171.4686,171.4686,171.4686,171.4686,10000000000
2017-12-22,174.9659,174.9659,174.9659,174.9659,174.9659,10000000000
2017-12-29,179.9572,179.9572,179.9572,179.9572,179.9572,10000000000
2018-01-05,179.4927,179.4927,179.4927,179.4927,179.4927,10000000000
2018-01-12,181.261,181.261,181.261,181.261,181.261,10000000000
2018-01-19,180.8743,180.8743,180.8743,180.8743,180.8743,10000000000
2018-01-26,185.5373,185.5373,185.5373,185.5373,185.5373,10000000000
2018-02-02,182.1581,182.1581,182.1581,182.1581,182.1581,10000000000
2018-02-09,175.1015,175.1015,175.1015,175.1015,175.1015,10000000000
2018-02-16,180.3895,180.3895,180.3895,180.3895,180.3895,10000000000
2018-02-23,181.4437,181.4437,181.4437,181.4437,181.4437,10000000000
2018-03-02,180.3873,180.3873,180.3873,180.3873,180.3873,10000000000
2018-03-09,180.0501,180.0501,180.0501,180.0501,180.0501,10000000000
2018-03-16,178.8978,178.8978,178.8978,178.8978,178.8978,10000000000
2018-03-23,179.1187,179.1187,179.1187,179.1187,179.1187,10000000000
2018-03-30,179.236,179.236,179.236,179.236,179.236,10000000000
2018-04-06,178.2098,178.2098,178.2098,178.2098,178.2098,10000000000
2018-04-13,183.0637,183.0637,183.0637,183.0637,183.0637,10000000000
2018-04-20,184.302,184.302,184.302,184.302,184.302,10000000000
2018-04-27,183.4092,183.4092,183.4092,183.4092,183.4092,10000000000
2018-05-04,184.7199,184.7199,184.7199,184.7199,184.7199,10000000000
2018-05-11,184.8849,184.8849,184.8849,184.8849,184.8849,10000000000
2018-05-18,185.724,185.724,185.724,185.724,185.724,10000000000
2018-05-25,186.8314,186.8314,186.8314,186.8314,186.8314,10000000000
2018-06-01,185.9414,185.9414,185.9414,185.9414,185.9414,10000000000
2018-06-08,185.0296,185.0296,185.0296,185.0296,185.0296,10000000000
2018-06-15,180.4233,180.4233,180.4233,180.4233,180.4233,10000000000
2018-06-22,179.7035,179.7035,179.7035,179.7035,179.7035,10000000000
2018-06-29,179.9539,179.9539,179.9539,179.9539,179.9539,10000000000
2018-07-06,177.5471,177.5471,177.5471,177.5471,177.5471,10000000000
2018-07-13,172.7169,172.7169,172.7169,172.7169,172.7169,10000000000
2018-07-20,172.479,172.479,172.479,172.479,172.479,10000000000
2018-07-27,174.9291,174.9291,174.9291,174.9291,174.9291,10000000000
2018-08-03,175.1222,175.1222,175.1222,175.1222,175.1222,10000000000
2018-08-10,173.8098,173.8098,173.8098,173.8098,173.8098,10000000000
2018-08-17,172.0517,172.0517,172.0517,172.0517,172.0517,10000000000
2018-08-24,172.8316,172.8316,172.8316,172.8316,172.8316,10000000000
2018-08-31,172.9951,172.9951,172.9951,172.9951,172.9951,10000000000
2018-09-07,170.6877,170.6877,170.6877,170.6877,170.6877,10000000000
2018-09-14,170.4956,170.4956,170.4956,170.4956,170.4956,10000000000
2018-09-21,174.587,174.587,174.587,174.587,174.587,10000000000
2018-09-28,176.3125,176.3125,176.3125,176.3125,176.3125,10000000000
2018-10-05,179.9028,179.9028,179.9028,179.9028,179.9028,10000000000
2018-10-12,178.6042,178.6042,178.6042,178.6042,178.6042,10000000000
2018-10-19,178.0857,178.0857,178.0857,178.0857,178.0857,10000000000
2018-10-26,176.1952,176.1952,176.1952,176.1952,176.1952,10000000000
2018-11-02,173.9684,173.9684,173.9684,173.9684,173.9684,10000000000
2018-11-09,171.9926,171.9926,171.9926,171.9926,171.9926,10000000000
2018-11-16,174.1834,174.1834,174.1834,174.1834,174.1834,10000000000
2018-11-23,169.2182,169.2182,169.2182,169.2182,169.2182,10000000000
2018-11-30,171.5349,171.5349,171.5349,171.5349,171.5349,10000000000
2018-12-07,173.5433,173.5433,173.5433,173.5433,173.5433,10000000000
2018-12-14,169.0005,169.0005,169.0005,169.0005,169.0005,10000000000
2018-12-21,163.7316,163.7316,163.7316,163.7316,163.7316,10000000000
2018-12-28,161.5125,161.5125,161.5125,161.5125,161.5125,10000000000
2019-01-04,163.137,163.137,163.137,163.137,163.137,10000000000
2019-01-11,165.9773,165.9773,165.9773,165.9773,165.9773,10000000000
2019-01-18,169.6357,169.6357,169.6357,169.6357,169.6357,10000000000
2019-01-25,169.0694,169.0694,169.0694,169.0694,169.0694,10000000000
2019-02-01,168.9307,168.9307,168.9307,168.9307,168.9307,10000000000
2019-02-08,167.1316,167.1316,167.1316,167.1316,167.1316,10000000000
2019-02-15,169.0713,169.0713,169.0713,169.0713,169.0713,10000000000
2019-02-22,171.5899,171.5899,171.5899,171.5899,171.5899,10000000000
2019-03-01,169.2487,169.2487,169.2487,169.2487,169.2487,10000000000
2019-03-08,168.2841,168.2841,168.2841,168.2841,168.2841,10000000000
2019-03-15,170.7004,170.7004,170.7004,170.7004,170.7004,10000000000
2019-03-22,171.1299,171.1299,171.1299,171.1299,171.1299,10000000000
2019-03-29,169.8207,169.8207,169.8207,169.8207,169.8207,10000000000
2019-04-05,172.588,172.588,172.588,172.588,172.588,10000000000
2019-04-12,173.3772,173.3772,173.3772,173.3772,173.3772,10000000000
2019-04-19,171.3444,171.3444,171.3444,171.3444,171.3444,10000000000
2019-04-26,169.4533,169.4533,169.4533,169.4533,169.4533,10000000000
2019-05-03,167.5953,167.5953,167.5953,167.5953,167.5953,10000000000
2019-05-10,165.202,165.202,165.202,165.202,165.202,10000000000
2019-05-17,167.4687,167.4687,167.4687,167.4687,167.4687,10000000000
2019-05-24,165.4452,165.4452,165.4452,165.4452,165.4452,10000000000
2019-05-31,163.4152,163.4152,163.4152,163.4152,163.4152,10000000000
2019-06-07,162.3183,162.3183,162.3183,162.3183,162.3183,10000000000
2019-06-14,163.8224,163.8224,163.8224,163.8224,163.8224,10000000000
2019-06-21,166.0169,166.0169,166.0169,166.0169,166.0169,10000000000
2019-06-28,167.8037,167.8037,167.8037,167.8037,167.8037,10000000000
2019-07-05,166.7377,166.7377,166.7377,166.7377,166.7377,10000000000
