Date,0,1,2
2010-01-04,2.899632569963095e-22,1.0,4.2610509305211857e-110
2010-01-05,8.134829836658121e-08,0.012689962858052312,0.9873099557941656
2010-01-06,4.269213650408955e-09,0.0003239948050883754,0.9996760009265061
2010-01-07,2.630409644403941e-10,6.583372076954952e-05,0.999934166013926
2010-01-08,1.3114245337934212e-10,1.2715646861821361e-05,0.9999872842244178
2010-01-11,1.2358164391457584e-09,3.188897637498233e-05,0.9999681097898298
2010-01-12,1.7617811362685858e-09,0.00013066930711268525,0.9998693289343086
2010-01-13,1.545734882901593e-10,3.838322328536414e-05,0.9999616166187181
2010-01-14,1.8706861935885134e-10,1.2725569731693737e-05,0.999987274241931
2010-01-15,2.6964110805214444e-10,4.202730256730166e-05,0.9999579724272464
2010-01-19,2.173259902986782e-10,1.665575115967586e-05,0.9999833440310937
2010-01-20,7.578362950356388e-10,3.937977777650738e-05,0.9999606194656719
2010-01-21,2.07949862436488e-09,5.857333207264714e-05,0.9999414245888413
2010-01-22,4.174607135397824e-10,0.00010806980746016427,0.9998919297769644
2010-01-25,4.445932729640564e-11,1.1953746811980914e-05,0.9999880462115078
2010-01-26,1.0680419801222733e-10,1.1840639520094033e-05,0.9999881592567164
2010-01-27,3.151090119095031e-10,2.7882419382700925e-05,0.9999721172675107
2010-01-28,3.801565476450486e-10,3.239086500703766e-05,0.9999676087543887
2010-01-29,5.289935168087311e-10,2.8432528539323197e-05,0.999971566944125
2010-02-01,1.182737607114011e-09,4.7929635869975484e-05,0.9999520691845001
2010-02-02,1.2381478999060774e-09,6.772849243299386e-05,0.9999322702660883
2010-02-03,1.0252172557407777e-08,4.793702391818415e-05,0.999952052727073
2010-02-04,6.469124439482894e-09,0.0012332021802600333,0.998766791350689
2010-02-05,5.134034824399948e-10,3.069987417273214e-05,0.9999692996117693
2010-02-08,1.3870237461354794e-09,7.39128113946004e-05,0.9999260857981735
2010-02-09,3.7700971326721817e-10,4.577444341634712e-05,0.9999542251825525
2010-02-10,3.1293926434359764e-10,2.283739937674939e-05,0.9999771622885743
2010-02-11,2.0774446570820095e-10,4.237886281636956e-05,0.9999576209260173
2010-02-12,1.2175676255380277e-09,1.2985727663276744e-05,0.9999870130529626
2010-02-16,1.939514230229163e-09,0.0003723929632803691,0.9996276050969295
2010-02-17,5.293094877077714e-11,1.364546903809228e-05,0.999986354478429
2010-02-18,6.669496853306583e-11,1.363449244726782e-05,0.9999863654431476
2010-02-19,6.414555407478685e-11,1.3079581415388375e-05,0.9999869203511949
2010-02-22,2.3961285834257276e-10,1.3322597850824265e-05,0.999986677162798
2010-02-23,4.703235005742356e-10,6.473663471095618e-05,0.9999352628947846
2010-02-24,1.0088609659412308e-10,1.9578744361370052e-05,0.9999804211572529
