Date,Market_State,0,1,2,3
2007-01-02,0.0,0.9990103177153321,0.0004962205752609421,7.006243552016093e-08,0.0004933916469715578
2007-01-03,0.0,0.9989654674232828,0.000600188020504608,9.237285056113303e-08,0.0004342521833632557
2007-01-04,0.0,0.9973118476777267,0.001617916625039845,2.0560212517247642e-07,0.0010700300951078465
2007-01-05,0.0,0.9985156470132147,0.0009047791966540073,2.0457166482759284e-07,0.0005793692184677167
2007-01-08,0.0,0.9992549163774058,0.00035955226333204466,5.261376692138394e-08,0.00038547874549431734
2007-01-09,0.0,0.9992036097288594,0.00038650161492284244,5.534609574488954e-08,0.00040983331012337383
2007-01-10,0.0,0.9985601477495897,0.0010150945235940397,1.3533226486343636e-07,0.00042462239455095396
2007-01-11,0.0,0.9985274895646545,0.0010093354438109297,1.487501527347965e-07,0.00046302624138169546
2007-01-12,0.0,0.995606697825971,0.0028081927592440554,2.752357461842431e-07,0.0015848341790371272
2007-01-15,0.0,0.9985629491667628,0.0006765539521891257,9.681943052849598e-08,0.0007604000616177192
2007-01-16,0.0,0.9992800111865356,0.0003198281571492273,5.4509945357284005e-08,0.00040010614636825487
2007-01-17,0.0,0.999161599320318,0.00039953276520443163,6.665579980588758e-08,0.00043880125867601876
2007-01-18,0.0,0.998622802917757,0.0006785298280611427,1.1106748962792363e-07,0.0006985561866939239
2007-01-19,0.0,0.9967234020320417,0.0022436465071924284,1.7911038699843007e-07,0.0010327723503774629
2007-01-22,0.0,0.9990897365713765,0.0005087465803671643,8.072436848561012e-08,0.00040143612388863315
2007-01-23,0.0,0.9934785913926675,0.004794867364195564,3.734696892366262e-07,0.001726167773446247
2007-01-24,0.0,0.9989304682783207,0.0004805124523735288,7.599798928219296e-08,0.0005889432713158351
2007-01-25,0.0,0.9973442171884818,0.0016389411639518028,3.014494113900812e-07,0.0010165401981553635
2007-01-26,0.0,0.9989941873486361,0.0006261185818178834,1.039234761165929e-07,0.0003795901460701253
2007-01-29,0.0,0.9980218386853525,0.001197022584148417,1.258900311893319e-07,0.0007810128404689198
2007-01-30,0.0,0.9884040714061563,0.009260777039433465,5.015536907194793e-07,0.0023346500007206464
2007-01-31,0.0,0.997997243745106,0.001202227843689997,1.966060889219547e-07,0.0008003318051167742
2007-02-01,1.0,2.443534824941602e-43,0.9997116855681782,0.00028831443182245954,2.383695255141747e-37
2007-02-02,0.0,0.9991770326810103,0.00033295670647652255,5.430455699743875e-08,0.0004899563079566082
2007-02-05,0.0,0.9990498527930946,0.00047010498118878067,7.787185334417997e-08,0.00047996435386269093
2007-02-06,0.0,0.9983187528701596,0.0008489516496950876,1.3785756440073044e-07,0.0008321576225816695
2007-02-07,0.0,0.9987761319791567,0.0005379095155740809,7.180253867204817e-08,0.000685886702731962
2007-02-08,0.0,0.9989081287947384,0.0007321741288666981,9.891663446630596e-08,0.0003595981597584211
2007-02-09,0.0,0.9985849375217706,0.0008638897068702909,1.3930096278117003e-07,0.0005510334703972135
2007-02-12,0.0,0.9957036870828482,0.0026057873823956347,2.603741672664092e-07,0.0016902651605880043
2007-02-13,0.0,0.9973692068557647,0.0015157127188687506,1.5206747645893403e-07,0.0011149283578889553
2007-02-14,0.0,0.9764588606384939,0.018697503277630603,2.9472926703832587e-06,0.004840688791204625
2007-02-15,0.0,0.9988394621304834,0.0005414577163094237,8.57653775177004e-08,0.0006189943878289585
2007-02-16,0.0,0.9991129096067588,0.0004908714866047786,7.15645489982302e-08,0.0003961473420873156
2007-02-19,0.0,0.998661925411503,0.0006067584872642654,7.439476806335582e-08,0.0007312417064650267
2007-02-20,0.0,0.999232854082481,0.00033692568395611285,4.825372814381357e-08,0.00043017197983429527
2007-02-21,0.0,0.9982692343641905,0.0013348443651725968,1.426458060509792e-07,0.0003957786248310645
2007-02-22,0.0,0.9983320212515647,0.0010405576324765767,1.3085540662598118e-07,0.0006272902605507458
2007-02-23,0.0,0.9984708575369079,0.0008493168557231058,1.376691983958495e-07,0.0006796879381700335
2007-02-26,0.0,0.9985432421442532,0.0007293737891084359,1.194791818194074e-07,0.0007272645874565712
2007-02-27,1.0,0.34804436788654525,0.6499479949156175,0.0007161303634451815,0.0012915068343935985
2007-02-28,0.0,0.9985641438486648,0.000780041303335805,2.642293313983327e-07,0.000655550618668936
2007-03-01,1.0,2.821505172637261e-126,0.9972851207459378,0.002714879254062813,2.702820180499206e-105
2007-03-02,0.0,0.9987858270170702,0.0005155835503414868,2.2425474846156885e-07,0.0006983651778413536
2007-03-05,0.0,0.9973056311426075,0.0011779049506695043,1.622523785765527e-06,0.0015148413829365651
2007-03-06,0.0,0.9927278051337869,0.004592621114988341,3.9534355767179637e-07,0.002679178407666139
2007-03-07,0.0,0.9975961124789972,0.001401008889487934,1.7810148849655193e-07,0.0010027005300273673
2007-03-08,0.0,0.9986924231883139,0.0005779971732426141,9.419661978163995e-08,0.0007294854418245166
2007-03-09,0.0,0.9952410601314633,0.0037184012567023548,7.653143283442077e-07,0.0010397732975068559
2007-03-12,0.0,0.9988627370232875,0.0004888383684760259,8.816156845727407e-08,0.0006483364466670871
2007-03-13,0.0,0.9960296781749581,0.003155397592651725,1.4617963945771847e-06,0.0008134624359943485
2007-03-14,0.0,0.9978555030782398,0.0013021991168580627,4.04555463007567e-07,0.0008418932494382451
2007-03-15,0.0,0.9984717253704406,0.0007599825294018129,1.1451681815098486e-07,0.0007681775833395314
2007-03-16,0.0,0.9992472761497915,0.0003289083101664774,5.425125514496361e-08,0.0004237612887870028
